Unnamed: 0,session__sessionId,Experiment,Answer,Type,lvlAfter,lvlBefore,Course
403,493,curated,True,curated,2.0,2.0,CS
404,493,curated,False,curated,2.0,2.0,CS
405,439,curated,True,curated,0.0,0.0,CS
406,439,curated,False,curated,0.0,0.0,CS
407,439,curated,True,curated,0.0,0.0,CS
408,439,curated,False,curated,0.0,0.0,CS
409,439,curated,False,curated,0.0,0.0,CS
410,817,curated,True,curated,1.0,0.0,CS
411,817,curated,True,curated,1.0,0.0,CS
412,817,curated,False,curated,1.0,0.0,CS
413,817,curated,False,curated,1.0,0.0,CS
414,817,curated,False,curated,1.0,0.0,CS
415,370,curated,True,curated,0.0,0.0,CS
416,370,curated,True,curated,0.0,0.0,CS
417,370,curated,False,curated,0.0,0.0,CS
418,370,curated,False,curated,0.0,0.0,CS
419,370,curated,False,curated,0.0,0.0,CS
420,748,curated,True,curated,1.0,0.0,CS
421,748,curated,False,curated,1.0,0.0,CS
422,748,curated,False,curated,1.0,0.0,CS
423,748,curated,False,curated,1.0,0.0,CS
424,748,curated,False,curated,1.0,0.0,CS
425,570,curated,True,curated,0.0,0.0,CS
426,570,curated,True,curated,0.0,0.0,CS
427,570,curated,True,curated,0.0,0.0,CS
428,570,curated,False,curated,0.0,0.0,CS
429,570,curated,False,curated,0.0,0.0,CS
430,377,curated,False,curated,0.0,0.0,CS
431,377,curated,False,curated,0.0,0.0,CS
432,377,curated,False,curated,0.0,0.0,CS
433,377,curated,False,curated,0.0,0.0,CS
434,377,curated,False,curated,0.0,0.0,CS
435,549,curated,True,curated,1.0,0.0,CS
436,549,curated,True,curated,1.0,0.0,CS
437,549,curated,True,curated,1.0,0.0,CS
438,549,curated,True,curated,1.0,0.0,CS
439,549,curated,False,curated,1.0,0.0,CS
440,973,curated,True,curated,1.0,0.0,CS
441,973,curated,False,curated,1.0,0.0,CS
442,973,curated,False,curated,1.0,0.0,CS
443,973,curated,False,curated,1.0,0.0,CS
444,973,curated,False,curated,1.0,0.0,CS
445,425,curated,False,curated,1.0,0.0,CS
446,425,curated,False,curated,1.0,0.0,CS
447,425,curated,False,curated,1.0,0.0,CS
448,425,curated,True,curated,1.0,0.0,CS
449,425,curated,False,curated,1.0,0.0,CS
450,509,curated,True,curated,1.0,1.0,CS
451,509,curated,False,curated,1.0,1.0,CS
452,509,curated,False,curated,1.0,1.0,CS
453,509,curated,True,curated,1.0,1.0,CS
454,509,curated,False,curated,1.0,1.0,CS
455,256,curated,True,curated,2.0,2.0,CS
456,256,curated,True,curated,2.0,2.0,CS
457,256,curated,True,curated,2.0,2.0,CS
458,256,curated,True,curated,2.0,2.0,CS
459,256,curated,True,curated,2.0,2.0,CS
460,112,curated,False,curated,0.0,0.0,CS
